loss,step,goal_pred_acc
2.7637572,0,0.096385546
2.7642994,1,0.09119107
2.7145746,2,0.084242426
2.817373,3,0.08463385
2.7780206,4,0.09927798
2.696227,5,0.10125786
2.740727,6,0.09681373
2.6686187,7,0.11841326
2.7838686,8,0.104216866
2.739955,9,0.10461538
2.8170211,10,0.089691326
2.8032606,11,0.09292566
2.7890048,12,0.099939436
2.732598,13,0.09118176
2.7566772,14,0.08126137
2.7217784,15,0.08571428
2.7312572,16,0.089395806
2.7370262,17,0.1074481
2.7833924,18,0.09063804
2.7285235,19,0.09245283
2.7352722,20,0.082810536
2.7510128,21,0.1
2.6416302,22,0.10045367
2.7019455,23,0.09594334
2.7764273,24,0.082443655
2.6784663,25,0.09620098
2.6960745,26,0.10707692
2.71916,27,0.102860615
2.7110753,28,0.10225921
2.7256682,29,0.09390244
2.7174141,30,0.12066907
2.6757047,31,0.091570646
2.689343,32,0.08343484
2.6521506,33,0.09129902
2.6538732,34,0.09517846
2.6785555,35,0.11271851
2.7023218,36,0.09500308
2.7277453,37,0.09363958
2.6448991,38,0.097355776
2.664087,39,0.10898204
2.6921058,40,0.09927798
2.6876929,41,0.1091224
2.6048594,42,0.08765653
2.663413,43,0.10490379
2.5804625,44,0.080827065
2.556091,45,0.0979064
2.55407,46,0.096992016
2.554287,47,0.09308176
2.5273135,48,0.104486786
2.6136205,49,0.08655617
2.5283642,50,0.10910225
2.5353146,51,0.08652657
2.4518194,52,0.09433962
2.4608533,53,0.09801489
2.5160828,54,0.093768544
2.4651985,55,0.101735495
2.3932297,56,0.07568238
2.4044244,57,0.091861896
2.4397569,58,0.10048427
2.3617194,59,0.10707804
2.34159,60,0.105882354
2.336249,61,0.09495193
2.3818095,62,0.10896637
2.3091686,63,0.095325954
2.22838,64,0.10792264
2.2488506,65,0.10401002
2.2434995,66,0.08354115
2.1992302,67,0.08716708
2.2375772,68,0.0979351
2.1696541,69,0.09888752
2.1066735,70,0.09618875
2.0732613,71,0.086982965
2.0390244,72,0.08126551
2.0669093,73,0.09759111
2.0628655,74,0.09541063
1.9543425,75,0.09017912
2.0238378,76,0.09176471
1.9121488,77,0.08922881
1.8921072,78,0.0873606
1.858201,79,0.08514493
1.8455204,80,0.086687304
1.7896634,81,0.08479899
1.8201934,82,0.09824561
1.8040661,83,0.08493976
1.7689059,84,0.077570654
1.7000748,85,0.10667461
1.6956561,86,0.096470594
1.65776,87,0.09854898
1.6223642,88,0.09390547
1.6038394,89,0.08809802
1.5804572,90,0.07268323
1.5474867,91,0.079271875
1.5482316,92,0.085784316
1.507855,93,0.08234598
1.4351503,94,0.077015646
1.465952,95,0.08618582
1.367215,96,0.090909086
1.4179984,97,0.09220297
1.3946702,98,0.08384333
1.4383438,99,0.08963093
1.3894674,100,0.08520998
1.3789145,101,0.08975136
1.3481363,102,0.08756889
1.3148773,103,0.08596166
1.3386273,104,0.0794621
1.2846421,105,0.08070618
1.3536904,106,0.07867868
1.3563472,107,0.08377896
1.2574298,108,0.072615385
1.3513906,109,0.08021077
1.2198433,110,0.0726708
1.2835656,111,0.06797853
1.275271,112,0.07583231
1.2671914,113,0.07535885
1.2797155,114,0.08825357
1.3273253,115,0.07282416
1.3010646,116,0.08080195
1.3172127,117,0.083874784
1.2709942,118,0.084272996
1.26183,119,0.081081085
1.1863031,120,0.068578556
1.2559655,121,0.074097134
1.308654,122,0.08244994
1.2156857,123,0.08144519
1.2671821,124,0.073141485
1.2740589,125,0.08283313
1.2346408,126,0.074441686
1.2887758,127,0.08804283
1.2368666,128,0.07763975
1.2605557,129,0.0681544
1.2350079,130,0.08323208
1.1967103,131,0.07238095
1.1590016,132,0.06577267
1.2737511,133,0.08987418
1.2121171,134,0.08752328
1.2078295,135,0.08711886
1.2283051,136,0.07156076
1.2114795,137,0.07692307
1.2409916,138,0.08740832
1.1257812,139,0.08224543
1.2456195,140,0.07215875
1.2136651,141,0.07245509
1.3155317,142,0.076832846
1.2311943,143,0.076417916
1.1926936,144,0.08785047
1.2480069,145,0.08450704
1.2101476,146,0.09068323
1.2163799,147,0.08223289
1.2523476,148,0.0814234
1.261341,149,0.07913669
1.211765,150,0.08348457
1.2523385,151,0.087858446
1.2136554,152,0.07235622
1.1916232,153,0.093009114
1.2243701,154,0.08138101
1.2383049,155,0.077108435
1.2189443,156,0.08457415
1.2220393,157,0.091240875
1.1831732,158,0.083226636
1.2453024,159,0.08548585
1.1955229,160,0.085276075
1.139085,161,0.084217094
1.2499079,162,0.07867868
1.1676452,163,0.07386363
1.1950508,164,0.08410637
1.2408224,165,0.07243708
1.2150685,166,0.07748184
1.2639129,167,0.0735745
1.207631,168,0.0782984
1.2344108,169,0.0885009
1.2056843,170,0.08739076
1.2061309,171,0.09255898
1.191627,172,0.07668898
1.2047899,173,0.078250155
1.197126,174,0.07971014
1.1609228,175,0.07829408
1.2101096,176,0.0941896
1.2736688,177,0.087484814
1.2024502,178,0.083233535
1.2268445,179,0.077156745
1.2185398,180,0.088397786
1.1873009,181,0.08769793
1.1863474,182,0.082474224
1.1734394,183,0.07654014
1.2157891,184,0.075187966
1.1808355,185,0.08580247
1.2152005,186,0.07734807
1.1668184,187,0.0794155
1.2138256,188,0.086503066
1.2051238,189,0.07017544
1.1910863,190,0.08531383
1.1761775,191,0.085908525
1.190404,192,0.08079553
1.2176828,193,0.0927835
1.1996803,194,0.07738815
1.2158624,195,0.071207434
1.1902916,196,0.08566108
1.212204,197,0.07655214
1.2133701,198,0.08402367
1.2032925,199,0.07535885
1.1577691,200,0.07432024
1.2062694,201,0.08065494
1.1349561,202,0.0823456
1.1987636,203,0.08708709
1.2079339,204,0.08023952
1.2160684,205,0.085645355
1.1957546,206,0.081521735
1.2037,207,0.08222491
1.1668499,208,0.09261577
1.1646974,209,0.08814401
1.2169333,210,0.07429599
1.2199658,211,0.08601485
1.1483328,212,0.07514451
1.1875606,213,0.08318043
1.2199214,214,0.08525755
1.1252013,215,0.08190476
1.1351526,216,0.076424874
1.1402107,217,0.079503104
1.2315153,218,0.08249853
1.1329355,219,0.08051118
1.2155457,220,0.07575758
1.1790301,221,0.07291667
1.1927484,222,0.071651086
1.181169,223,0.08587089
1.168199,224,0.08544892
1.1746482,225,0.068517424
1.2182201,226,0.079297826
1.2025081,227,0.07233273
1.2160685,228,0.07656613
1.204754,229,0.06843658
1.2376652,230,0.084068194
1.1840243,231,0.09228901
1.2408429,232,0.093622
1.2240524,233,0.077105574
1.197202,234,0.08410067
1.1603222,235,0.08343558
1.2213167,236,0.09031491
1.2013998,237,0.081947014
1.1418004,238,0.08840126
1.2217106,239,0.0865905
1.1736759,240,0.07535516
1.1644459,241,0.07272727
1.1570021,242,0.08825319
1.1868029,243,0.07966204
1.1663738,244,0.07899687
1.1713027,245,0.07281554
1.1934026,246,0.07172996
1.1823269,247,0.084229395
1.1534302,248,0.07476635
1.1369617,249,0.092401214
1.2022765,250,0.07151443
1.2170063,251,0.07905605
1.1734741,252,0.07226683
1.1540865,253,0.08587089
1.2032154,254,0.08576642
1.1710405,255,0.090964586
1.1730927,256,0.08841463
1.1805334,257,0.082579866
1.1647652,258,0.08798017
1.1279721,259,0.07938462
1.1571523,260,0.08558842
1.1815947,261,0.08399755
1.1417161,262,0.093769275
1.2060806,263,0.07992896
1.1756518,264,0.09214595
1.2093352,265,0.08491687
1.1764483,266,0.08554217
1.1678659,267,0.09480122
1.0862085,268,0.07506204
1.1825527,269,0.0970516
1.2027467,270,0.080586076
1.233376,271,0.09923214
1.1434072,272,0.09675444
1.144973,273,0.08454106
1.2047639,274,0.07650927
1.1381394,275,0.08573178
1.1268698,276,0.100829616
1.2094843,277,0.083084285
1.1883013,278,0.09286998
1.1391618,279,0.08385482
1.2101222,280,0.07789855
1.1377025,281,0.09062104
1.2010635,282,0.08559373
1.1977049,283,0.089318044
1.2108735,284,0.08383962
1.205065,285,0.08637469
1.1620554,286,0.081081085
1.18827,287,0.08995037
1.1672096,288,0.0949214
1.1279162,289,0.08734177
1.1892109,290,0.08993448
1.170826,291,0.09480122
1.2325003,292,0.084807806
1.1876214,293,0.08679928
1.1783168,294,0.09480122
1.2269249,295,0.090139136
1.2261386,296,0.086040914
1.2039244,297,0.083030306
1.1600974,298,0.09152752
1.207481,299,0.09210527
1.1647654,300,0.093788065
1.1382011,301,0.071116656
1.2145586,302,0.08956983
1.1942049,303,0.08542414
1.1606123,304,0.07804878
1.1536543,305,0.079566
1.0949259,306,0.091772154
1.185113,307,0.08719512
1.1799792,308,0.08982748
1.1527086,309,0.093119815
1.1662394,310,0.0795107
1.1696303,311,0.09878788
1.1717738,312,0.08522379
1.2214649,313,0.0832823
1.1463885,314,0.094339624
1.1463424,315,0.086427264
1.1974727,316,0.093366094
1.1304314,317,0.08553846
1.102048,318,0.079950035
1.1570073,319,0.08236017
1.1812694,320,0.10230025
1.1406308,321,0.08103015
1.1460112,322,0.08103131
1.1206223,323,0.090282135
1.1911184,324,0.0788207
1.1519046,325,0.08731156
1.1335087,326,0.077970296
1.1979558,327,0.093413174
1.2189846,328,0.08862276
1.2129382,329,0.10183541
1.1719565,330,0.08407871
1.2226136,331,0.08669476
1.1343583,332,0.08968883
1.1069877,333,0.0886392
1.2251157,334,0.08690546
1.1356611,335,0.089937106
1.1321481,336,0.09367397
1.1733099,337,0.0771586
1.1625692,338,0.08022045
1.2255899,339,0.08449004
1.1679499,340,0.10102225
1.1850271,341,0.092307694
1.1801072,342,0.096560046
1.1858947,343,0.07815384
1.1767853,344,0.099759616
1.1854645,345,0.079092585
1.1487395,346,0.0838471
1.171072,347,0.09057301
1.1252441,348,0.094022416
1.1134584,349,0.08659924
1.2390295,350,0.094710946
1.1721659,351,0.099816285
1.1318452,352,0.080882356
1.1420608,353,0.090796016
1.1451007,354,0.08726115
1.13962,355,0.09640024
1.2579849,356,0.08747045
1.1598,357,0.09040248
1.0885165,358,0.08
1.1498941,359,0.08821715
1.1614112,360,0.08409506
1.1464746,361,0.089375
1.1858321,362,0.086878374
1.1856768,363,0.08786611
1.1151013,364,0.09214595
1.1556484,365,0.09295072
1.1334109,366,0.091193005
1.150928,367,0.08818126
1.166868,368,0.07841945
1.1418014,369,0.09565217
1.1382893,370,0.08995037
1.1042994,371,0.092821784
1.1392417,372,0.070991434
1.1031548,373,0.086419754
1.1363213,374,0.083076924
1.1932485,375,0.0839832
1.1613973,376,0.088073395
1.1650654,377,0.07040573
1.1929277,378,0.09118357
1.1501824,379,0.09517923
1.1219002,380,0.074235804
1.0758123,381,0.08940397
1.1731707,382,0.08717004
1.19922,383,0.09022119
1.1140627,384,0.08785047
1.1145492,385,0.07989854
1.165357,386,0.09167672
1.164729,387,0.09251369
1.1393795,388,0.079092585
1.1690174,389,0.08737864
1.1738979,390,0.09503372
1.1673653,391,0.08654416
1.1991472,392,0.089020774
1.1774809,393,0.08232446
1.1577216,394,0.08644278
1.1189859,395,0.094972074
1.0938036,396,0.09213759
1.1459342,397,0.09057301
1.1941848,398,0.0992823
1.1733435,399,0.08903695
1.1330848,400,0.09944065
1.2007416,401,0.10063991
1.1730698,402,0.08953418
1.1436242,403,0.08328304
1.1892018,404,0.090748385
1.114575,405,0.07169118
1.149641,406,0.09435174
1.1573652,407,0.08530806
1.2001113,408,0.096385546
1.1512561,409,0.09357798
1.0963889,410,0.08859976
1.2192594,411,0.09014926
1.1851108,412,0.094755664
1.1223649,413,0.09234508
1.1973629,414,0.10293238
1.1357894,415,0.09340659
1.1245567,416,0.08816276
1.1758056,417,0.102078244
1.1435817,418,0.09921828
1.0979055,419,0.09630102
1.1430659,420,0.09388512
1.1215814,421,0.09500308
1.141877,422,0.086903304
1.1275278,423,0.07992565
1.163667,424,0.09975669
1.2293764,425,0.10532688
1.1414484,426,0.09047045
1.1856129,427,0.10379597
1.1326212,428,0.08961681
1.1429858,429,0.07866508
1.1816778,430,0.090361446
1.150722,431,0.103721775
1.1064696,432,0.094849244
1.1135179,433,0.08736644
1.1694329,434,0.09474328
1.1367005,435,0.09602446
1.1232259,436,0.08270202
1.1004305,437,0.1
1.2019533,438,0.09716354
1.1284696,439,0.0878553
1.1403466,440,0.1047443
1.1135433,441,0.07967882
1.1195728,442,0.094730236
1.1374291,443,0.088468574
1.2113945,444,0.11508177
1.1440511,445,0.08114704
1.1273663,446,0.092009686
1.1320808,447,0.09777228
1.1481719,448,0.08464329
1.1426969,449,0.07739938
1.160917,450,0.09637815
1.1263686,451,0.08097929
1.1695102,452,0.09708738
1.1497089,453,0.08569704
1.167244,454,0.09933374
1.1465974,455,0.08559113
1.1794331,456,0.10523151
1.1266178,457,0.08684863
1.1390387,458,0.1004902
1.1564432,459,0.09007912
1.0859355,460,0.08733624
1.1664155,461,0.08737283
1.2163821,462,0.10129564
1.1739728,463,0.10133495
1.206047,464,0.08814771
1.1661513,465,0.09738718
1.1758876,466,0.089515634
1.0867137,467,0.089790896
1.1837261,468,0.09939394
1.1090472,469,0.09380748
1.1357886,470,0.0952381
1.0998138,471,0.107230395
1.0976932,472,0.09459459
1.1000025,473,0.102564104
1.1552007,474,0.097991474
1.158939,475,0.09130435
1.1771805,476,0.09403255
1.1366565,477,0.098350644
1.1884891,478,0.09732938
1.1394297,479,0.09643734
1.213704,480,0.10309893
1.169409,481,0.09184915
1.155701,482,0.0978979
1.2025734,483,0.09581881
1.176784,484,0.09730722
1.0877442,485,0.07912772
1.076058,486,0.08836907
1.1199707,487,0.09022556
1.1552043,488,0.09601449
1.1204915,489,0.088468574
1.1285651,490,0.08825319
1.1814184,491,0.08938212
1.1282809,492,0.088943794
1.1659102,493,0.09532829
1.1309292,494,0.089705
1.119794,495,0.0920398
1.2450725,496,0.098510884
1.1271348,497,0.09860859
1.1946594,498,0.10784902
1.0771362,499,0.07860825
