k,gain
1,0.6438561897747244
1,1.0588936890535683
1,0.7369655941662057
1,1.0588936890535683
1,0.32192809488736174
1,1.0588936890535683
1,1.0588936890535683
1,1.0588936890535683
1,1.4739311883324122
1,1.0588936890535683
1,1.4739311883324122
1,0.7369655941662057
1,0.7369655941662057
1,0.32192809488736174
1,0.7369655941662057
1,0.6438561897747244
1,0.7369655941662057
1,0.6438561897747244
1,0.6438561897747244
1,0.7369655941662057
1,1.0588936890535683
1,0.7369655941662057
1,1.0588936890535683
1,0.32192809488736174
1,0.6438561897747244
2,1.0588936890535683
2,1.0588936890535683
2,1.4739311883324122
2,2.6438561897747244
2,0.6438561897747244
2,1.0588936890535683
2,3.0588936890535683
2,2.0588936890535683
2,1.0588936890535683
2,2.0588936890535683
2,2.0588936890535683
2,2.0588936890535683
2,2.6438561897747244
2,0.6438561897747244
2,1.0588936890535683
2,2.6438561897747244
2,2.0588936890535683
2,3.0588936890535683
2,1.0588936890535683
2,2.6438561897747244
2,1.6438561897747244
2,1.0588936890535683
2,3.0588936890535683
2,1.4739311883324122
2,1.6438561897747244
3,1.4739311883324122
3,1.4739311883324122
3,2.0588936890535683
3,1.4739311883324122
3,2.6438561897747244
3,2.0588936890535683
3,2.0588936890535683
3,2.6438561897747244
3,3.0588936890535683
3,2.6438561897747244
3,3.6438561897747244
3,1.4739311883324122
3,1.6438561897747244
3,3.6438561897747244
3,1.4739311883324122
3,2.0588936890535683
3,2.6438561897747244
3,1.4739311883324122
3,1.4739311883324122
3,1.0588936890535683
3,2.6438561897747244
3,2.0588936890535683
3,2.0588936890535683
3,2.0588936890535683
3,1.4739311883324122
4,3.6438561897747244
4,3.6438561897747244
4,2.6438561897747244
4,3.6438561897747244
4,1.4739311883324122
4,4.643856189774724
4,2.321928094887362
4,2.6438561897747244
4,3.6438561897747244
4,2.6438561897747244
4,2.6438561897747244
4,3.0588936890535683
4,4.643856189774724
4,3.0588936890535683
4,3.6438561897747244
4,3.0588936890535683
4,3.6438561897747244
4,3.6438561897747244
4,3.0588936890535683
4,2.0588936890535683
4,2.0588936890535683
4,3.6438561897747244
4,2.6438561897747244
4,2.0588936890535683
4,2.0588936890535683
5,3.6438561897747244
5,3.0588936890535683
5,3.6438561897747244
5,3.6438561897747244
5,4.643856189774724
5,2.6438561897747244
5,3.0588936890535683
5,3.0588936890535683
5,3.6438561897747244
5,4.643856189774724
5,2.0588936890535683
5,4.643856189774724
5,3.6438561897747244
5,3.0588936890535683
5,3.0588936890535683
5,2.0588936890535683
5,3.0588936890535683
5,4.643856189774724
5,3.6438561897747244
5,3.0588936890535683
5,3.6438561897747244
5,3.6438561897747244
5,3.6438561897747244
5,4.643856189774724
5,3.6438561897747244
6,4.643856189774724
6,4.643856189774724
6,4.643856189774724
6,2.6438561897747244
6,3.6438561897747244
6,3.6438561897747244
6,4.643856189774724
6,3.6438561897747244
6,2.6438561897747244
6,2.0588936890535683
6,4.643856189774724
6,4.643856189774724
6,3.6438561897747244
6,2.6438561897747244
6,4.643856189774724
6,3.6438561897747244
6,3.6438561897747244
6,4.643856189774724
6,4.643856189774724
6,3.0588936890535683
6,3.6438561897747244
6,3.0588936890535683
6,3.6438561897747244
6,3.0588936890535683
6,3.6438561897747244
7,2.6438561897747244
7,3.0588936890535683
7,3.0588936890535683
7,3.6438561897747244
7,3.6438561897747244
7,4.643856189774724
7,4.643856189774724
7,2.0588936890535683
7,3.6438561897747244
7,3.0588936890535683
7,3.6438561897747244
7,4.643856189774724
7,4.643856189774724
7,3.0588936890535683
7,4.643856189774724
7,4.643856189774724
7,3.6438561897747244
7,4.643856189774724
7,4.643856189774724
7,4.643856189774724
7,4.643856189774724
7,3.6438561897747244
7,2.6438561897747244
7,4.643856189774724
7,3.6438561897747244
8,4.643856189774724
8,3.6438561897747244
8,4.643856189774724
8,3.6438561897747244
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,2.6438561897747244
8,3.6438561897747244
8,4.643856189774724
8,3.6438561897747244
8,4.643856189774724
8,2.0588936890535683
8,3.6438561897747244
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,4.643856189774724
8,3.6438561897747244
8,4.643856189774724
8,3.6438561897747244
8,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,3.6438561897747244
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,3.6438561897747244
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,3.6438561897747244
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,3.6438561897747244
9,4.643856189774724
9,4.643856189774724
9,4.643856189774724
9,3.6438561897747244
9,3.6438561897747244
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,3.6438561897747244
10,3.6438561897747244
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
10,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
11,4.643856189774724
