k,gain,policy_samples,true_goal_in_possible
1,0.32192809488736174,0,True
1,0.32192809488736174,1,True
1,0.32192809488736174,2,True
1,0.32192809488736174,3,True
1,0.32192809488736174,4,True
1,0.32192809488736174,5,True
1,0.32192809488736174,6,True
1,0.32192809488736174,7,True
1,0.32192809488736174,8,True
1,0.32192809488736174,9,True
1,0.32192809488736174,10,True
1,0.32192809488736174,11,True
1,0.32192809488736174,12,True
1,0.32192809488736174,13,True
1,0.32192809488736174,14,True
1,0.32192809488736174,15,True
1,0.32192809488736174,16,True
1,0.32192809488736174,17,True
1,0.32192809488736174,18,True
1,0.32192809488736174,19,True
1,0.32192809488736174,20,True
1,0.32192809488736174,21,True
1,0.32192809488736174,22,True
1,0.32192809488736174,23,True
1,0.32192809488736174,24,True
1,3.0588936890535683,0,False
1,1.8365012677171202,1,False
1,1.8365012677171202,2,False
1,1.8365012677171202,3,False
1,1.8365012677171202,4,False
1,1.6438561897747244,5,False
1,1.6438561897747244,6,False
1,1.4739311883324122,7,True
1,1.4739311883324122,8,True
1,1.4739311883324122,9,True
1,1.4739311883324122,10,True
1,1.4739311883324122,11,True
1,1.4739311883324122,12,True
1,1.4739311883324122,13,True
1,1.4739311883324122,14,True
1,1.4739311883324122,15,True
1,1.4739311883324122,16,True
1,1.4739311883324122,17,True
1,1.4739311883324122,18,True
1,1.4739311883324122,19,True
1,1.4739311883324122,20,True
1,1.4739311883324122,21,True
1,1.4739311883324122,22,True
1,1.4739311883324122,23,True
1,1.4739311883324122,24,True
1,1.4739311883324122,0,True
1,1.0588936890535683,1,True
1,1.0588936890535683,2,True
1,1.0588936890535683,3,True
1,1.0588936890535683,4,True
1,1.0588936890535683,5,True
1,1.0588936890535683,6,True
1,1.0588936890535683,7,True
1,1.0588936890535683,8,True
1,1.0588936890535683,9,True
1,1.0588936890535683,10,True
1,1.0588936890535683,11,True
1,1.0588936890535683,12,True
1,1.0588936890535683,13,True
1,1.0588936890535683,14,True
1,1.0588936890535683,15,True
1,1.0588936890535683,16,True
1,1.0588936890535683,17,True
1,1.0588936890535683,18,True
1,1.0588936890535683,19,True
1,1.0588936890535683,20,True
1,1.0588936890535683,21,True
1,1.0588936890535683,22,True
1,1.0588936890535683,23,True
1,1.0588936890535683,24,True
1,0.32192809488736174,0,True
1,0.32192809488736174,1,True
1,0.32192809488736174,2,True
1,0.32192809488736174,3,True
1,0.32192809488736174,4,True
1,0.32192809488736174,5,True
1,0.32192809488736174,6,True
1,0.32192809488736174,7,True
1,0.32192809488736174,8,True
1,0.32192809488736174,9,True
1,0.32192809488736174,10,True
1,0.32192809488736174,11,True
1,0.32192809488736174,12,True
1,0.32192809488736174,13,True
1,0.32192809488736174,14,True
1,0.32192809488736174,15,True
1,0.32192809488736174,16,True
1,0.32192809488736174,17,True
1,0.32192809488736174,18,True
1,0.32192809488736174,19,True
1,0.32192809488736174,20,True
1,0.32192809488736174,21,True
1,0.32192809488736174,22,True
1,0.32192809488736174,23,True
1,0.32192809488736174,24,True
1,0.32192809488736174,0,True
1,0.32192809488736174,1,True
1,0.32192809488736174,2,True
1,0.32192809488736174,3,True
1,0.32192809488736174,4,True
1,0.32192809488736174,5,True
1,0.32192809488736174,6,True
1,0.32192809488736174,7,True
1,0.32192809488736174,8,True
1,0.32192809488736174,9,True
1,0.32192809488736174,10,True
1,0.32192809488736174,11,True
1,0.32192809488736174,12,True
1,0.32192809488736174,13,True
1,0.32192809488736174,14,True
1,0.32192809488736174,15,True
1,0.32192809488736174,16,True
1,0.32192809488736174,17,True
1,0.32192809488736174,18,True
1,0.32192809488736174,19,True
1,0.32192809488736174,20,True
1,0.32192809488736174,21,True
1,0.32192809488736174,22,True
1,0.32192809488736174,23,True
1,0.32192809488736174,24,True
1,2.6438561897747244,0,False
1,2.321928094887362,1,False
1,2.0588936890535683,2,True
1,2.0588936890535683,3,True
1,1.6438561897747244,4,True
1,1.4739311883324122,5,True
1,1.4739311883324122,6,True
1,1.4739311883324122,7,True
1,1.4739311883324122,8,True
1,1.4739311883324122,9,True
1,1.4739311883324122,10,True
1,1.4739311883324122,11,True
1,1.4739311883324122,12,True
1,1.4739311883324122,13,True
