loss,step,goal_pred_acc
2.8286107,0,0.101201765
2.8389235,1,0.0957377
2.7665756,2,0.086873814
2.8682323,3,0.08742138
2.8381832,4,0.10144928
2.7659078,5,0.10519307
2.8046825,6,0.101029605
2.7267878,7,0.12064676
2.840875,8,0.105793454
2.8003228,9,0.10737387
2.8699894,10,0.093009114
2.8727381,11,0.09652997
2.8487954,12,0.10336082
2.792564,13,0.0910804
2.815199,14,0.08248731
2.786833,15,0.08447937
2.8036966,16,0.09227749
2.7943246,17,0.11174968
2.8404553,18,0.09380863
2.7984722,19,0.09679572
2.811959,20,0.08637874
2.8088157,21,0.10232266
2.7057076,22,0.10342466
2.7859857,23,0.10068966
2.8383846,24,0.0853051
2.7411432,25,0.09858248
2.7633853,26,0.107582636
2.7845385,27,0.103846155
2.7692168,28,0.10585305
2.7859578,29,0.09411012
2.784,30,0.1245283
2.7257779,31,0.09252218
2.7438817,32,0.08386277
2.7154694,33,0.092139184
2.7172194,34,0.09933775
2.7357256,35,0.116498746
2.7673445,36,0.09778357
2.7892685,37,0.09685379
2.698274,38,0.09824781
2.719342,39,0.11055591
2.7577434,40,0.1022082
2.7407486,41,0.1079784
2.6590383,42,0.090739585
2.7354274,43,0.109652005
2.642578,44,0.083552636
2.6179614,45,0.102779575
2.6191232,46,0.10122501
2.633129,47,0.09565217
2.5839875,48,0.10767247
2.6963177,49,0.08859935
2.58662,50,0.10958904
2.5956495,51,0.0880259
2.5136738,52,0.09745223
2.5245667,53,0.10091146
2.5741723,54,0.09479554
2.5263243,55,0.10588972
2.4595237,56,0.0770235
2.4647849,57,0.09243698
2.5023913,58,0.1030993
2.426669,59,0.11146497
2.4093337,60,0.109882966
2.3928845,61,0.094552286
2.4565153,62,0.11220472
2.3871303,63,0.09759272
2.3128705,64,0.11192053
2.3282125,65,0.105437666
2.3209097,66,0.08470125
2.262059,67,0.08780795
2.2892785,68,0.10159119
2.2454019,69,0.10084581
2.1737552,70,0.094816685
2.132496,71,0.089410275
2.120984,72,0.084645666
2.132167,73,0.09819122
2.1345723,74,0.09949303
2.0247161,75,0.09391192
2.092923,76,0.09275184
2.0053198,77,0.09572302
1.96551,78,0.08961039
1.9350561,79,0.082911395
1.9227418,80,0.091796875
1.8874754,81,0.08835341
1.8866543,82,0.10243902
1.8853948,83,0.08607595
1.8534712,84,0.08190476
1.7783695,85,0.10770194
1.7597862,86,0.099755205
1.740715,87,0.1
1.7049294,88,0.09520683
1.6752657,89,0.087858446
1.666979,90,0.07431134
1.6162531,91,0.07796194
1.6306478,92,0.08591732
1.5729969,93,0.082716055
1.4980727,94,0.07841907
1.548141,95,0.0883871
1.4316329,96,0.09189535
1.4911226,97,0.092857145
1.4631652,98,0.08589744
1.5001521,99,0.09390244
1.4709504,100,0.083816886
1.4534096,101,0.09143222
1.4170306,102,0.086872585
1.3849454,103,0.08604954
1.4056442,104,0.082051285
1.3613964,105,0.08160535
1.4274908,106,0.078095235
1.4208555,107,0.08665836
1.3228419,108,0.07318653
1.4028636,109,0.08085106
1.2827454,110,0.07269155
1.3452482,111,0.07326237
1.3411988,112,0.076673165
1.3136497,113,0.0757764
1.3430946,114,0.087467365
1.383826,115,0.074257426
1.3707937,116,0.08274535
1.3682805,117,0.084204055
1.3255067,118,0.082455054
1.3180782,119,0.08228643
