loss,step
1.2821838,0
1.5153592,1
1.5085804,2
1.3216615,3
1.5147334,4
1.2882882,5
1.4711206,6
1.5261228,7
1.4869394,8
1.2077308,9
1.0891185,10
1.190481,11
1.4462134,12
1.4350605,13
1.4292574,14
1.2082994,15
1.261731,16
1.3244071,17
1.2900621,18
1.2361013,19
1.2753599,20
1.5576084,21
1.4605207,22
1.4718839,23
1.1573386,24
1.5227015,25
1.4529859,26
1.4504385,27
1.2772505,28
1.2343962,29
1.0655805,30
1.3230059,31
1.2439269,32
1.3088388,33
1.5140615,34
1.1999719,35
1.1779902,36
1.4203598,37
1.4766133,38
1.3888413,39
1.1804364,40
1.1056383,41
1.3558171,42
1.4168556,43
1.4255879,44
1.4954258,45
1.3796611,46
1.4926012,47
1.1120722,48
1.2293124,49
1.3812497,50
1.0929515,51
1.1147435,52
1.3807063,53
1.1127887,54
1.3145266,55
1.3653548,56
1.4454238,57
1.2246675,58
1.4405869,59
1.4621277,60
1.4319141,61
1.2159567,62
1.3947893,63
1.3663678,64
1.3939798,65
1.3007655,66
1.395119,67
1.3021379,68
1.3405783,69
1.3389866,70
1.3070886,71
1.3253896,72
1.1890337,73
1.4284513,74
1.4289932,75
1.3894591,76
1.1804595,77
1.491377,78
1.2027016,79
1.4230194,80
1.406002,81
1.2051748,82
1.3943506,83
1.3580267,84
1.1230204,85
1.1759338,86
1.3475986,87
1.4678099,88
1.2835869,89
1.5241879,90
1.3742256,91
1.4341023,92
1.1311454,93
1.4042511,94
1.401014,95
1.4279273,96
1.2937839,97
1.4621186,98
1.3744013,99
1.1592488,100
1.3588042,101
1.4408181,102
1.4610085,103
1.3731084,104
1.3597262,105
1.1517467,106
1.1908319,107
1.2950244,108
1.2953913,109
1.4503615,110
1.2784135,111
1.4686599,112
1.3258734,113
1.1757457,114
1.2418059,115
1.1189227,116
1.2857051,117
1.3918467,118
1.0327022,119
1.3733187,120
1.3345615,121
1.3531625,122
1.027263,123
1.2667654,124
1.5452633,125
1.2113119,126
1.069845,127
1.3264312,128
1.3203013,129
1.2620683,130
1.3136612,131
1.2571757,132
1.3583224,133
1.2297909,134
1.349953,135
1.1304393,136
1.1503501,137
1.2895875,138
1.3185827,139
1.5477302,140
1.1774924,141
1.3711743,142
1.265867,143
1.0539331,144
1.1633728,145
1.0588105,146
1.1089911,147
1.3412564,148
1.2448256,149
1.2807422,150
1.41769,151
1.1838539,152
1.2848785,153
1.3027098,154
1.0356741,155
1.369628,156
1.4234973,157
1.1335847,158
1.1135174,159
1.2914022,160
1.2902086,161
1.2291749,162
0.98647666,163
1.3705989,164
1.1958468,165
1.1785994,166
1.4769018,167
1.4170936,168
1.2137272,169
1.115844,170
1.3407521,171
1.0650153,172
1.3781462,173
1.1467307,174
1.12135,175
1.0889313,176
1.2496893,177
1.264284,178
1.1730236,179
1.0078398,180
1.2441375,181
1.1824577,182
1.2298169,183
1.1296984,184
1.218113,185
0.97245276,186
1.2845535,187
0.9976595,188
1.2792506,189
1.0885547,190
0.9725813,191
0.9701169,192
1.0874505,193
1.262747,194
1.0305538,195
1.2029874,196
1.2566078,197
1.0753088,198
1.236491,199
1.0464827,200
1.022263,201
0.9505873,202
1.0448351,203
0.9712175,204
0.970335,205
1.1812906,206
1.007957,207
0.9630947,208
0.9649869,209
1.0266552,210
1.0898411,211
0.9119406,212
1.0517192,213
0.91164494,214
1.0352969,215
1.1546745,216
1.0986261,217
1.0637856,218
1.1109428,219
1.0607789,220
