loss,step,goal_pred_acc
4.393714,0,0.057540886
4.3923087,1,0.0853111
4.2955084,2,0.057506055
4.456433,3,0.06380368
4.2453685,4,0.07715491
4.49076,5,0.07471264
4.211101,6,0.07697044
3.9615965,7,0.09204276
4.376422,8,0.06845966
4.209831,9,0.082397
4.3664465,10,0.08821823
4.2581673,11,0.08398792
4.4755597,12,0.084204055
4.218649,13,0.058963668
4.1877303,14,0.077111386
4.1950192,15,0.07754847
4.0141892,16,0.07668133
4.2397947,17,0.08272506
4.0606318,18,0.07160194
4.242209,19,0.07287706
4.1667643,20,0.067645185
4.36822,21,0.0979064
4.2907777,22,0.07782865
4.288829,23,0.07252162
4.4199996,24,0.06860959
4.0717564,25,0.08825357
4.100366,26,0.09248914
3.9042435,27,0.07654623
3.9863045,28,0.0769697
4.2088795,29,0.06384285
4.238016,30,0.09503632
4.201696,31,0.07593386
4.0113263,32,0.050764523
4.158689,33,0.08266502
4.260549,34,0.084863834
3.9965155,35,0.10119761
4.2317753,36,0.0625
4.3582425,37,0.057313435
4.153436,38,0.07324456
4.1457977,39,0.074788906
3.9929183,40,0.0861128
4.141393,41,0.07917889
4.026997,42,0.05449102
4.2091436,43,0.08386684
4.0851107,44,0.05597484
3.8728957,45,0.084567904
4.13402,46,0.06521739
4.064248,47,0.06552163
4.0374007,48,0.06922126
4.2328696,49,0.08178439
4.0462036,50,0.07496902
4.1774125,51,0.07025316
4.0495405,52,0.07873528
3.9733474,53,0.07564575
3.9937644,54,0.0697812
3.8413973,55,0.07839617
3.8240125,56,0.057980053
3.9425416,57,0.064237185
3.9596176,58,0.06601467
3.946453,59,0.06975309
3.9207861,60,0.074608155
3.73634,61,0.060990337
3.7225544,62,0.08426966
3.7223337,63,0.06226415
3.6960998,64,0.09227872
3.799984,65,0.101607725
3.5983293,66,0.081202045
3.7492766,67,0.07447448
3.7032442,68,0.08940201
3.7808297,69,0.08370044
3.6329935,70,0.07220874
3.7752805,71,0.07274969
3.4167318,72,0.057877816
3.6813147,73,0.07102093
3.703564,74,0.05973716
3.5870361,75,0.05980271
3.3975809,76,0.080825955
3.546816,77,0.089561865
3.680925,78,0.05762082
3.624539,79,0.065110564
3.4155643,80,0.07400497
3.529271,81,0.050697085
3.4123936,82,0.08435137
3.5250244,83,0.089743584
3.2974212,84,0.07641396
3.3526323,85,0.08975136
3.2378955,86,0.09970327
3.4167361,87,0.06422018
3.3468254,88,0.085874304
3.3429735,89,0.09501467
3.2887416,90,0.05784615
3.3774755,91,0.06581246
3.2279534,92,0.05659204
3.1405685,93,0.09107358
3.2280123,94,0.063068524
3.2435112,95,0.08592777
3.0856283,96,0.063190185
3.1815844,97,0.08714462
3.2128775,98,0.074617736
3.1805367,99,0.067307696
3.1123211,100,0.08178439
2.9461575,101,0.07173779
2.8352416,102,0.07772979
2.845986,103,0.091240875
2.9849453,104,0.06572481
2.6849005,105,0.064578004
2.8818722,106,0.0838471
2.8104875,107,0.0539892
2.8144727,108,0.061288305
2.9569438,109,0.061511423
2.7842507,110,0.07451472
2.6294281,111,0.06242497
2.806272,112,0.05451128
2.7322042,113,0.07181984
2.874523,114,0.07860262
2.9091828,115,0.071852736
2.7477129,116,0.06866417
2.852228,117,0.058892816
2.7254522,118,0.08515815
2.6291482,119,0.05822329
2.5711296,120,0.067515925
2.5666957,121,0.073981196
2.7599201,122,0.06714201
2.6528442,123,0.06922126
2.5847504,124,0.054151624
2.5542855,125,0.07164727
2.478848,126,0.07454201
2.3472123,127,0.06812652
2.4411032,128,0.08218319
2.4648454,129,0.06562312
2.4613256,130,0.07556368
2.4060054,131,0.07255521
2.3737411,132,0.07203115
2.3996563,133,0.04597701
2.5406075,134,0.05793451
2.463164,135,0.07534246
2.5652158,136,0.051572327
2.4958854,137,0.07572936
2.1969826,138,0.07620238
2.3821838,139,0.06155861
2.4852908,140,0.04730539
2.3095453,141,0.059069216
2.3662949,142,0.0571934
2.331052,143,0.06859206
2.433987,144,0.062301334
2.3378212,145,0.073033705
2.1912475,146,0.07341772
2.1825674,147,0.07775769
2.3459046,148,0.08986035
2.3054764,149,0.06842737
2.4845784,150,0.07002457
2.2833602,151,0.06711823
2.2076,152,0.063725494
2.2486835,153,0.072077535
2.2086189,154,0.053803343
2.2135441,155,0.06553398
2.3958688,156,0.082474224
2.2986512,157,0.067848414
2.2387788,158,0.077120826
2.130016,159,0.05686032
2.2032008,160,0.06109726
2.158433,161,0.050664976
2.205951,162,0.0624235
2.3686097,163,0.08169728
2.1884315,164,0.056511056
2.152404,165,0.07249071
2.3011367,166,0.06117505
2.0609815,167,0.0609832
2.1866362,168,0.0630517
2.275271,169,0.059701495
2.224073,170,0.05960685
2.0729125,171,0.06790124
2.1154273,172,0.07918969
2.0519297,173,0.06637984
2.0275078,174,0.06399522
2.075282,175,0.07448187
2.1641088,176,0.07503153
2.2099063,177,0.059337918
2.1140776,178,0.056920312
2.2156904,179,0.056193355
2.3302722,180,0.043450885
2.1524756,181,0.06871165
2.0597084,182,0.0523399
2.3569524,183,0.058675077
2.0100403,184,0.056507934
2.2144864,185,0.06641366
2.1355462,186,0.06503067
2.0541563,187,0.08397436
2.2807555,188,0.054938275
2.0742044,189,0.066950694
2.1335359,190,0.06014581
1.9930011,191,0.06361323
2.138069,192,0.046787273
2.0424917,193,0.07763975
2.2490234,194,0.043209877
2.1015599,195,0.07058089
2.1051118,196,0.055984557
2.1298728,197,0.059963662
1.9833534,198,0.07138643
2.0783606,199,0.06642729
2.1414149,200,0.042424243
2.0431066,201,0.06749226
2.1988688,202,0.087925695
2.062775,203,0.04804805
2.075473,204,0.06975346
2.306876,205,0.077710845
