iteration,mean_episode_len,mean_reward
0,14.030303001403809,-12.030303001403809
1,17.233333587646484,-15.233333587646484
2,17.700000762939453,-15.699999809265137
3,17.535715103149414,-15.535714149475098
4,15.20588207244873,-13.20588207244873
5,16.70967674255371,-14.709677696228027
6,16.09677505493164,-14.096774101257324
7,14.13513469696045,-12.13513469696045
8,16.060606002807617,-14.060606002807615
9,15.709677696228027,-13.709677696228027
10,15.428571701049805,-13.428571701049805
11,16.33333396911621,-14.333333015441896
12,15.818181991577148,-13.818181991577148
13,15.272727012634276,-13.272727012634276
14,18.428571701049805,-16.428571701049805
15,18.259260177612305,-16.259260177612305
16,15.757575988769531,-13.757575988769531
17,13.538461685180664,-11.538461685180664
18,17.55172348022461,-15.551724433898926
19,15.677419662475586,-13.677419662475586
20,16.05714225769043,-14.057143211364746
21,15.22580623626709,-13.22580623626709
22,15.314285278320312,-13.314285278320312
23,16.482759475708008,-14.482758522033691
24,17.516128540039062,-15.51612949371338
25,16.433332443237305,-14.43333339691162
26,17.89285659790039,-15.892857551574709
27,17.580644607543945,-15.580645561218262
28,15.71875,-13.71875
29,15.878787994384766,-13.878787994384766
30,15.515151977539062,-13.515151977539062
31,16.482759475708008,-14.482758522033691
32,16.625,-14.625
33,15.636363983154297,-13.636363983154297
34,16.96666717529297,-14.966666221618652
35,15.060606002807615,-13.060606002807615
36,15.515151977539062,-13.515151977539062
37,16.53125,-14.53125
38,15.935483932495115,-13.935483932495115
39,17.633333206176758,-15.633333206176758
40,15.96875,-13.96875
41,16.633333206176758,-14.633333206176758
42,16.645160675048828,-14.645161628723145
43,14.485713958740234,-12.485713958740234
44,15.875,-13.875
45,16.030303955078125,-14.030303001403809
46,15.757575988769531,-13.757575988769531
47,15.303030014038086,-13.303030014038086
48,13.315789222717283,-11.315789222717283
49,16.645160675048828,-14.645161628723145
50,16.15625,-14.15625
51,14.44444465637207,-12.44444465637207
52,14.79411792755127,-12.79411792755127
53,14.083333015441896,-12.083333015441896
54,15.375,-13.375
55,16.030303955078125,-14.030303001403809
56,15.9375,-13.9375
57,15.529411315917969,-13.529411315917969
58,14.685714721679688,-12.685714721679688
59,13.243243217468262,-11.243243217468262
60,11.909090995788574,-9.909090995788574
61,12.71794891357422,-10.71794891357422
62,11.48888874053955,-9.48888874053955
63,12.5,-10.5
64,14.882352828979492,-12.882352828979492
65,12.186046600341797,-10.186046600341797
66,10.829787254333496,-8.829787254333496
67,11.222222328186035,-9.222222328186035
68,13.28205108642578,-11.28205108642578
69,14.19444465637207,-12.19444465637207
70,9.807692527770996,-7.807692527770996
71,10.625,-8.625
72,11.19565200805664,-9.19565200805664
73,11.813953399658203,-9.813953399658203
74,9.788461685180664,-7.788461685180664
75,11.47826099395752,-9.47826099395752
76,10.36734676361084,-8.36734676361084
77,11.020833015441896,-9.020833015441896
78,10.255319595336914,-8.255319595336914
79,9.206896781921388,-7.206896781921387
80,9.254545211791992,-7.25454568862915
81,8.603447914123535,-6.603448390960693
82,9.759259223937988,-7.759259223937988
83,8.31147575378418,-6.3114752769470215
84,8.606557846069336,-6.606557369232178
85,9.339622497558594,-7.339622497558594
86,7.17808198928833,-5.17808198928833
87,7.656716346740723,-5.656716346740723
88,8.241935729980469,-6.241935253143311
89,5.897727489471436,-3.897727251052856
90,6.723684310913086,-4.723684310913086
91,7.239436626434326,-5.239436626434326
92,7.083333492279053,-5.083333492279053
93,5.906976699829102,-3.9069766998291016
94,6.5,-4.5
95,5.7865166664123535,-3.7865169048309326
96,5.580645084381104,-3.5806450843811035
97,5.797752857208252,-3.797752857208252
98,5.809523582458496,-3.809523820877075
99,5.237623691558838,-3.237623691558838
100,5.019802093505859,-3.01980209350586
101,5.009708881378174,-3.0097086429595947
102,5.234694004058838,-3.234693765640259
103,5.350515365600586,-3.350515365600586
104,5.039999961853027,-3.039999961853028
105,4.39130449295044,-2.3913042545318604
106,4.440678119659424,-2.4406778812408447
107,4.648148059844971,-2.6481480598449707
108,4.787036895751953,-2.787037134170532
109,4.256198406219482,-2.2561984062194824
