iteration,mean_episode_len,mean_reward
110,4.447368621826172,-2.4473683834075928
111,4.031496047973633,-2.031496047973633
112,3.9541983604431152,-1.9541984796524048
113,4.241666793823242,-2.241666555404663
114,3.731884002685547,-1.7318840026855469
115,4.153225898742676,-2.153225898742676
116,4.104838848114014,-2.1048386096954346
117,3.984251976013184,-1.984251976013184
118,4.0546875,-2.0546875
119,3.961240291595459,-1.961240291595459
120,3.968992233276367,-1.9689922332763672
121,3.724637746810913,-1.7246376276016235
122,3.9609375,-1.9609375
123,3.939393997192383,-1.9393939971923828
124,3.75,-1.75
125,3.377483367919922,-1.3774834871292114
126,3.720588207244873,-1.720588207244873
127,3.626760482788086,-1.6267606019973757
128,3.5763888359069824,-1.5763888359069824
129,3.864661693572998,-1.864661693572998
130,3.322580575942993,-1.3225806951522827
131,3.6214284896850586,-1.621428608894348
132,3.3642385005950928,-1.3642383813858032
133,3.681159496307373,-1.6811593770980835
134,3.5616438388824463,-1.5616438388824463
135,3.7941176891326895,-1.7941176891326904
136,3.711111068725586,-1.711111068725586
137,3.601398706436157,-1.6013985872268677
138,3.4864864349365234,-1.4864864349365234
139,3.510204076766968,-1.5102040767669678
140,3.813432931900024,-1.8134328126907349
141,3.5915493965148926,-1.591549277305603
142,3.595744609832764,-1.5957447290420532
143,3.463087320327759,-1.4630872011184692
144,3.742647171020508,-1.7426470518112185
145,3.633802890777588,-1.6338027715682983
146,3.51369857788086,-1.5136985778808594
147,3.3552632331848145,-1.355263113975525
148,3.348684310913086,-1.3486841917037964
149,3.372549057006836,-1.372549057006836
150,3.5273971557617188,-1.5273972749710083
151,3.563380241394043,-1.563380241394043
152,3.538461446762085,-1.5384615659713743
153,3.489795923233032,-1.4897959232330322
154,3.513513565063477,-1.5135135650634766
155,3.472972869873047,-1.4729729890823364
156,3.160493850708008,-1.1604938507080078
157,3.429530143737793,-1.429530143737793
158,3.631205558776856,-1.631205677986145
159,3.3376622200012207,-1.3376623392105105
160,3.3892617225646973,-1.3892617225646973
161,3.2738852500915527,-1.2738853693008425
162,3.5068492889404297,-1.5068492889404297
163,3.350649356842041,-1.350649356842041
164,3.425675630569458,-1.425675630569458
165,3.4594595432281494,-1.45945942401886
166,3.446666717529297,-1.4466667175292969
167,3.5517241954803467,-1.551724195480347
168,3.448979616165161,-1.4489796161651611
169,3.4391891956329346,-1.4391891956329346
170,3.5985915660858154,-1.5985915660858154
171,3.083832263946533,-1.0838323831558228
172,3.61267614364624,-1.612676024436951
173,3.207547187805176,-1.2075471878051758
174,3.452702760696411,-1.4527027606964111
175,3.436241626739502,-1.436241626739502
176,3.3529412746429443,-1.3529411554336548
177,3.4864864349365234,-1.4864864349365234
178,3.183544397354126,-1.1835442781448364
179,3.7285714149475098,-1.7285714149475098
180,3.2628204822540283,-1.2628204822540283
181,3.3529412746429443,-1.3529411554336548
182,3.221518993377685,-1.2215189933776855
183,3.3333332538604736,-1.3333333730697632
184,3.4533333778381348,-1.4533333778381348
185,3.277419328689575,-1.2774193286895752
186,3.496598720550537,-1.4965986013412476
187,3.264516115188598,-1.2645161151885986
188,3.479729652404785,-1.4797297716140747
189,3.664285659790039,-1.664285659790039
190,3.2389936447143555,-1.238993763923645
191,3.180124282836914,-1.180124282836914
192,3.2738852500915527,-1.2738853693008425
193,3.534722328186035,-1.5347222089767456
194,3.2151899337768555,-1.215189814567566
