loss,step,goal_pred_acc
2.7639832,0,0.09578314
2.763394,1,0.09119107
2.712116,2,0.084242426
2.8131423,3,0.08583433
2.7726398,4,0.09747293
2.6895752,5,0.09811321
2.7319999,6,0.097426474
2.658835,7,0.117229134
2.7718017,8,0.104216866
2.7257316,9,0.10584615
2.8005493,10,0.09027373
2.783483,11,0.09472422
2.7667987,12,0.10054513
2.7087014,13,0.09478104
2.7294052,14,0.08368708
2.6916955,15,0.08509316
2.6964245,16,0.09062885
2.698018,17,0.110500604
2.74102,18,0.09242695
2.6808894,19,0.097484276
2.6824198,20,0.08343789
2.6931636,21,0.10119761
2.5747151,22,0.10239793
2.6263118,23,0.09723117
2.6961102,24,0.08718862
2.5922356,25,0.09865197
2.5969963,26,0.10953846
2.6167743,27,0.10225198
2.599755,28,0.10760999
2.599419,29,0.095731705
2.5766964,30,0.124253295
2.5247972,31,0.09520922
2.522197,32,0.08769793
2.4731781,33,0.09129902
2.4630315,34,0.09768316
2.4660501,35,0.11573237
2.4699185,36,0.0993214
2.4834676,37,0.098351
2.3946795,38,0.107572116
2.3832736,39,0.11437126
2.383608,40,0.10770157
2.375307,41,0.11085451
2.272999,42,0.09063804
2.295903,43,0.106765985
2.1786084,44,0.08834586
2.1602318,45,0.10283251
2.1574938,46,0.10067526
2.1266305,47,0.10440251
2.1258082,48,0.111862324
2.1260002,49,0.08901166
2.0319345,50,0.11658355
2.0056338,51,0.08961681
1.949013,52,0.10042605
1.9585191,53,0.10669975
1.9597853,54,0.09495549
1.9109757,55,0.10891682
1.8279235,56,0.07630273
1.8294543,57,0.096794076
1.8594275,58,0.10472155
1.7839463,59,0.104658194
1.767575,60,0.10402477
1.7097752,61,0.09555289
1.7266178,62,0.11394769
1.6872126,63,0.10147601
1.59338,64,0.105427325
1.575238,65,0.10776942
1.5674024,66,0.0872818
1.4959263,67,0.09382567
1.5541499,68,0.092625365
1.4756665,69,0.10383189
1.417342,70,0.0937689
1.3890253,71,0.088807784
1.3780322,72,0.08746898
1.3507121,73,0.087708466
1.3926549,74,0.097826086
1.2887524,75,0.09882644
1.394303,76,0.09176471
1.3084123,77,0.0930529
1.2994714,78,0.08488228
1.2870756,79,0.086352654
1.2941198,80,0.09783282
1.2877473,81,0.09924623
1.3325509,82,0.10233918
1.3168397,83,0.08674699
1.3202431,84,0.08177992
1.3136497,85,0.09952324
1.3386781,86,0.09882353
1.3017374,87,0.10399033
1.2990036,88,0.10074627
1.3029836,89,0.09043174
1.3112452,90,0.08843126
1.2785411,91,0.08631826
1.2967799,92,0.09803922
1.2968875,93,0.090639815
1.2500908,94,0.09085439
1.2911264,95,0.10268949
1.2093749,96,0.10189139
1.2578427,97,0.092821784
1.2684649,98,0.092411265
1.3231194,99,0.08787347
1.2815413,100,0.09068776
1.2966424,101,0.09945422
1.2625105,102,0.09797917
1.2278712,103,0.0952381
1.2649485,104,0.08679707
1.2180383,105,0.09520807
1.3035984,106,0.09129129
1.3082579,107,0.10457516
1.211063,108,0.08861538
1.3026872,109,0.091334894
1.1797074,110,0.09378882
1.2431136,111,0.10077519
1.2399709,112,0.096794076
1.2316285,113,0.089712925
1.2503189,114,0.09136109
1.2922792,115,0.08348135
1.2674257,116,0.08809235
1.2867286,117,0.0945068
1.2428372,118,0.0925816
1.2360554,119,0.090090096
1.1534005,120,0.09413965
1.2213689,121,0.09526774
1.2769132,122,0.09540636
1.190045,123,0.09001837
1.241014,124,0.09232614
1.24292,125,0.09783913
1.2085212,126,0.08560794
1.2638818,127,0.10113028
1.2122027,128,0.09130435
1.2321619,129,0.08082027
1.2071974,130,0.10085055
1.171983,131,0.08571428
1.133534,132,0.08173691
1.2509409,133,0.09586579
1.1925154,134,0.093730606
1.1805248,135,0.0914748
1.2050147,136,0.08821715
1.1931527,137,0.09046154
1.2124399,138,0.104523234
1.1042705,139,0.09007833
1.2218555,140,0.090198435
1.1904517,141,0.08802395
1.2881905,142,0.09794722
1.213689,143,0.093134336
1.170441,144,0.09968847
1.2257318,145,0.093080215
1.1897964,146,0.11552795
1.1950668,147,0.10204081
1.2326946,148,0.09107358
1.2393856,149,0.09592326
1.1876934,150,0.10163339
1.2331965,151,0.10189139
1.191628,152,0.08719852
1.1682333,153,0.11428571
1.2028648,154,0.10357583
1.2169483,155,0.090361446
1.1999823,156,0.10303752
1.200901,157,0.10827251
1.1616397,158,0.09667093
1.2175577,159,0.09409594
1.1761831,160,0.10368098
1.1190748,161,0.09170306
1.2248495,162,0.0954955
1.1506333,163,0.09217171
1.1752083,164,0.0952381
1.2189074,165,0.08778392
1.1880255,166,0.0968523
1.242285,167,0.09258124
1.1822251,168,0.09247842
1.2110604,169,0.09753161
1.1814569,170,0.10362047
1.1833416,171,0.094978824
1.1707448,172,0.09007912
1.1807699,173,0.09858287
1.1730298,174,0.09057971
1.1393749,175,0.085296
1.1894088,176,0.112538226
1.2529882,177,0.10814095
1.1775814,178,0.093413174
1.200422,179,0.10085055
1.1989363,180,0.09944751
1.1678196,181,0.102314256
1.1660311,182,0.09824136
1.1542146,183,0.08649658
1.1930679,184,0.10401002
1.1607162,185,0.108024694
1.1961293,186,0.08655617
1.1449742,187,0.093392625
1.1912137,188,0.102453984
1.1849347,189,0.093163945
1.1709609,190,0.095063984
1.1561651,191,0.1013597
1.1678311,192,0.097576134
1.1951897,193,0.11582778
1.177582,194,0.08948005
1.198156,195,0.09226006
1.1690514,196,0.105524525
1.1909577,197,0.09825196
1.1962345,198,0.10887574
1.18025,199,0.08492824
1.1375854,200,0.090030216
1.1837864,201,0.0927835
1.1133097,202,0.096693695
1.1838588,203,0.09249249
1.186323,204,0.08622754
1.1981157,205,0.099517494
1.176211,206,0.10628019
1.1848619,207,0.100967355
1.1464471,208,0.112640806
1.1484708,209,0.10366233
1.199057,210,0.09586579
1.1996747,211,0.10705446
1.1299177,212,0.0982659
1.1669197,213,0.09663609
1.200019,214,0.10301954
1.1079612,215,0.086349204
1.1153275,216,0.08743524
1.1217313,217,0.086335406
1.2145983,218,0.09133766
1.1141155,219,0.08881789
1.1946802,220,0.10242424
1.1625563,221,0.099877454
1.1736209,222,0.09283489
1.1676139,223,0.09013399
1.1531628,224,0.10340557
1.1597855,225,0.08446545
1.2015771,226,0.09079903
1.1825533,227,0.10066305
1.198411,228,0.10382831
1.1850275,229,0.088495575
1.2136782,230,0.09935332
1.1641313,231,0.117182754
1.2253346,232,0.110590994
1.2048892,233,0.09430605
1.1808927,234,0.10313075
1.1442821,235,0.09754601
1.2021421,236,0.09625668
1.183004,237,0.09426987
1.1269261,238,0.105956115
1.204978,239,0.10523151
1.1549405,240,0.09697344
1.1432267,241,0.103896104
1.1392412,242,0.104077905
1.1650046,243,0.09474955
1.1455643,244,0.09278997
1.1547935,245,0.09223301
1.1732348,246,0.09222423
1.161693,247,0.10752689
1.1342129,248,0.09158878
1.1170778,249,0.11003039
1.1851497,250,0.08834135
1.1913246,251,0.09085546
1.1486291,252,0.09635578
1.1328813,253,0.104141295
1.1788063,254,0.09671533
1.1483057,255,0.1062271
1.1519955,256,0.099390246
1.1647328,257,0.10427969
1.1428704,258,0.10346964
1.108247,259,0.102153845
1.133493,260,0.10383889
1.1594337,261,0.09809933
1.1206204,262,0.0999383
1.1790031,263,0.09709888
1.1563545,264,0.10698825
1.1806225,265,0.10510689
1.1537727,266,0.10361446
1.1395518,267,0.11743119
1.065198,268,0.09057072
1.164479,269,0.10933661
1.184703,270,0.09951159
1.2120752,271,0.11458949
1.1209013,272,0.113900796
1.1207644,273,0.09963768
1.1826421,274,0.09444112
1.1159258,275,0.10471524
1.0980082,276,0.1129547
1.1894193,277,0.09503885
1.1674654,278,0.09466747
1.1129653,279,0.10075094
1.1828476,280,0.10024154
1.11195,281,0.08998732
1.1821684,282,0.09825196
1.1739872,283,0.10500905
1.1837751,284,0.10267315
1.1796187,285,0.10218978
1.1419953,286,0.11062225
1.1706645,287,0.104218364
1.1473004,288,0.10701331
1.1083182,289,0.09113924
1.1706735,290,0.107206665
1.1479051,291,0.124159016
1.2102059,292,0.103721775
1.1647196,293,0.103676915
1.1582592,294,0.106422015
1.2021726,295,0.11010284
1.2010571,296,0.11010831
1.1870909,297,0.09818182
1.1373655,298,0.10204082
1.1871637,299,0.1082536
1.1417841,300,0.10962242
1.1225791,301,0.097941354
1.1884642,302,0.10842664
1.1717082,303,0.11529272
1.1367469,304,0.099390246
1.1345097,305,0.10488246
1.0694278,306,0.09936709
1.161109,307,0.10060976
1.1596473,308,0.11540749
1.128351,309,0.10616845
1.145031,310,0.10091743
1.1484216,311,0.12
1.1527491,312,0.10300429
1.2002188,313,0.1077771
1.1186327,314,0.1112557
1.1249452,315,0.10712112
1.1734173,316,0.11793612
1.1109143,317,0.09476923
1.077902,318,0.10743286
1.1319132,319,0.108174555
1.1585548,320,0.12530267
1.1195298,321,0.09861809
1.1243569,322,0.10251688
1.0959619,323,0.095924765
1.1689235,324,0.09687124
1.1289757,325,0.09861809
1.1118122,326,0.10086633
1.1772897,327,0.10898204
1.1980143,328,0.11257485
1.1870931,329,0.12611012
1.1453434,330,0.09898628
1.1983098,331,0.100541845
1.113555,332,0.10250152
1.0922916,333,0.10049938
1.2026212,334,0.108044624
1.1129731,335,0.10754717
1.1114799,336,0.10644769
1.151233,337,0.099816285
1.1451905,338,0.10838947
1.2043965,339,0.099577546
1.1457891,340,0.10823812
1.1639762,341,0.09704142
1.1561329,342,0.10863005
1.1605314,343,0.09661538
1.1523117,344,0.11358173
1.1615266,345,0.104843654
1.1264917,346,0.101109736
1.1446921,347,0.10720887
1.1024166,348,0.11457036
1.0919223,349,0.097977236
1.2167832,350,0.100861005
1.148837,351,0.1157379
1.1115121,352,0.10110295
1.1222534,353,0.10323383
1.1269298,354,0.10509554
1.1222329,355,0.118364856
1.2375234,356,0.100472815
1.14226,357,0.09659443
1.067555,358,0.105
1.1284254,359,0.09747069
1.142327,360,0.09689213
1.1250514,361,0.099374995
1.165978,362,0.1018574
1.1670878,363,0.09503885
1.0948611,364,0.10389611
1.1346306,365,0.095446035
1.1118414,366,0.10555903
1.1318543,367,0.10532761
1.1449918,368,0.09483282
1.121791,369,0.11118012
1.1199442,370,0.09305211
1.0837628,371,0.10272277
1.1241485,372,0.10159119
1.0814308,373,0.0962963
1.11305,374,0.092923075
1.171396,375,0.10317936
1.1410393,376,0.1058104
1.1465992,377,0.08711217
1.171347,378,0.10567633
1.1287584,379,0.112484545
1.098691,380,0.10355583
1.0570718,381,0.10794702
1.1537753,382,0.09821977
1.1814408,383,0.10477299
1.0953721,384,0.10654205
1.094892,385,0.10145847
1.1457914,386,0.10193004
1.1416222,387,0.10164333
1.1159328,388,0.094420604
1.1488284,389,0.08919903
1.155083,390,0.11036174
1.1481324,391,0.09187908
1.1795223,392,0.09198813
1.1608473,393,0.098062955
1.136942,394,0.10074627
1.0999398,395,0.1011794
1.0714613,396,0.095208846
1.1243597,397,0.09919901
1.1743435,398,0.11363637
1.1570257,399,0.1035736
1.10985,400,0.10130516
1.1806844,401,0.100058176
1.1547561,402,0.09739867
1.1253419,403,0.09595655
1.173044,404,0.09958751
1.0962405,405,0.075980395
1.1289659,406,0.10847241
1.1375116,407,0.094194315
1.1797693,408,0.1060241
1.134313,409,0.10336391
1.076395,410,0.094175965
1.196247,411,0.09850747
1.165196,412,0.10607866
1.1043546,413,0.09720535
1.178012,414,0.11190904
1.1158633,415,0.1031746
1.1096534,416,0.101726264
1.1556144,417,0.11308069
1.1223599,418,0.10643416
1.0793228,419,0.10778061
1.1236539,420,0.10253243
1.1044506,421,0.10857495
1.1238495,422,0.09730722
1.1089762,423,0.08426271
1.1442167,424,0.09489051
1.2072101,425,0.10169492
1.1245362,426,0.1013269
1.1656483,427,0.112692766
1.1173795,428,0.096415326
1.1261891,429,0.09237187
1.1631303,430,0.10301205
1.1305988,431,0.11470408
1.0900968,432,0.10175879
1.0964227,433,0.08610936
1.1503383,434,0.11613692
1.1185325,435,0.09357798
1.1051704,436,0.09343434
1.083407,437,0.10377359
1.1840371,438,0.095353045
1.1129017,439,0.0885013
1.1229075,440,0.11398644
1.0991658,441,0.09635578
1.1017395,442,0.0966123
1.1192718,443,0.090909086
1.1930065,444,0.107813455
1.1258185,445,0.08968883
1.1081089,446,0.099273615
1.1127819,447,0.09777228
1.1285617,448,0.09068924
1.1248827,449,0.084829725
1.1398839,450,0.10497238
1.1064652,451,0.086629
1.1516559,452,0.09526699
1.1303042,453,0.076041035
1.1516359,454,0.105390675
1.1290699,455,0.0843596
1.1610948,456,0.097414315
1.1073184,457,0.08746898
1.1210551,458,0.09926471
1.138307,459,0.096165545
1.0708367,460,0.095446035
1.1515384,461,0.09994016
1.2004783,462,0.10070672
1.1574595,463,0.10436893
1.1915168,464,0.0887433
1.1491036,465,0.097981
1.1624897,466,0.08890252
1.0695448,467,0.08856089
1.1658406,468,0.10727273
1.0960449,469,0.09809933
1.1207099,470,0.103277676
1.0866297,471,0.109681375
1.0831431,472,0.10257985
1.0815072,473,0.10320513
1.1401789,474,0.10468654
1.1440074,475,0.09503105
1.1623411,476,0.10669078
1.1218865,477,0.10018326
1.1702039,478,0.10504451
1.1243062,479,0.10687961
1.1944863,480,0.110846244
1.1554456,481,0.099148415
1.1388938,482,0.10510511
1.1891252,483,0.09639953
1.1627086,484,0.1126071
1.0726362,485,0.08598131
1.0639992,486,0.086419754
1.1011325,487,0.087092735
1.1393808,488,0.092391305
1.1061192,489,0.09029896
1.114092,490,0.09677419
1.1646022,491,0.08518296
1.1108831,492,0.094502784
1.149714,493,0.0915404
1.1152663,494,0.09151114
1.1053269,495,0.09141791
1.2305348,496,0.09221077
1.1101242,497,0.09255898
1.1807892,498,0.09826244
