X,Y,temp,idx
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
1,0,0.001,5
